,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
3677,3677,Thirteen,2016,,7.3,94%,0,0,1,0,1
3678,3678,Flesh and Bone,2015,16+,8.0,62%,0,0,1,0,1
3679,3679,Hung,2009,18+,7.1,71%,0,0,1,0,1
3680,3680,Home Fires,2015,7+,8.2,100%,0,0,1,0,1
3681,3681,Inside Edge,2017,18+,8.0,,0,0,1,0,1
3682,3682,Enlightened,2011,18+,7.5,87%,0,0,1,0,1
3683,3683,Briarpatch,2020,18+,6.4,77%,0,0,1,0,1
3684,3684,Wolf Hall,2015,16+,8.1,98%,0,0,1,0,1
3685,3685,The Comeback,2005,18+,8.0,72%,0,0,1,0,1
3686,3686,The Test: A New Era For Australia's Team,2020,,9.0,,0,0,1,0,1
3687,3687,Vinland Saga,2019,,8.9,,0,0,1,0,1
3688,3688,Absentia,2017,18+,7.3,50%,0,0,1,0,1
3689,3689,Mirzapur,2018,,8.5,,0,0,1,0,1
3690,3690,Trapped,2015,18+,8.1,,0,0,1,0,1
3691,3691,Tin Star,2017,18+,7.3,57%,0,0,1,0,1
3692,3692,Too Old to Die Young,2019,18+,7.4,69%,0,0,1,0,1
3693,3693,"Kill Me, Heal Me",2015,16+,8.3,,0,0,1,0,1
3694,3694,The Carol Burnett Show,1967,all,8.8,,0,0,1,0,1
3695,3695,Beavis and Butt-head,1993,16+,7.5,,0,0,1,0,1
3696,3696,How to Make It in America,2010,18+,7.9,66%,0,0,1,0,1
3697,3697,Unforgotten,2015,18+,8.2,,0,0,1,0,1
3698,3698,Howards End,2017,7+,7.3,90%,0,0,1,0,1
3699,3699,Conversations with a Killer: The Ted Bundy Tapes,2019,18+,7.8,54%,0,0,1,0,1
